label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Serum-11221,Serum-11222,Serum-11223
,0,36,3,136.1011,8.762279,0.843823,C13N15-label-5-1,leucine,leucine,C6H13NO2,0.5994148,0.784795,130.0871,18417.62,25669.91,20822.22
,0,37,3,137.1043,8.74589,0.7672685,C13N15-label-6-1,leucine,leucine,C6H13NO2,0.6158037,1.446811,130.0871,827486.4,1032244,1081514
,0,38,3,131.0905,8.722073,0.7600287,C13-label-1,leucine,leucine,C6H13NO2,0.6396208,1.745981,130.0871,549591.9,648536.9,829096.5
,0,39,1,132.0938,8.745867,0.7002699,C13-label-2,leucine,leucine,C6H13NO2,0.6158266,1.848233,130.0871,0,9588.423,15044.03
,0,40,2,135.104,8.715275,0.6878086,C13-label-5,leucine,leucine,C6H13NO2,0.6464186,0.7905867,130.0871,28230.69,31375.38,0
,0,41,3,136.1073,8.738034,0.7472096,C13-label-6,leucine,leucine,C6H13NO2,0.6236591,1.569517,130.0871,1123904,1304637,1509196
,0,42,3,131.0842,8.713994,0.7612509,N15-label-1,leucine,leucine,C6H13NO2,0.6476994,1.396852,130.0871,405100.4,491096.9,576171.8
,0,43,2,130.0871,9.216695,0.7635696,C12 PARENT,isoleucine,isoleucine,C6H13NO2,0.678051,1.642151,130.0871,5550290,7699346,9800851
,0,44,3,132.0876,9.241379,0.6204497,C13N15-label-1-1,isoleucine,isoleucine,C6H13NO2,0.653367,1.270721,130.0871,11020,17987.18,17084.19
,0,45,0,135.0976,9.195901,0.06846531,C13N15-label-4-1,isoleucine,isoleucine,C6H13NO2,0.6988449,1.355355,130.0871,0,801.2121,0
,0,46,0,136.101,9.208851,0.3365704,C13N15-label-5-1,isoleucine,isoleucine,C6H13NO2,0.685895,1.121136,130.0871,0,13618.04,13032.72
